,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,%night,%eve,avg duration,Midwest,Noncontinental,Northeast,Northwest,Southeast,Southwest
473,0,1,33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4,1,43,36,0.476273248739788,0.0,0.0,1.0,0.0,0.0,0.0
474,0,1,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4.0,0,0,36,36,0.5959183673469388,1.0,0.0,0.0,0.0,0.0,0.0
475,0,0,0,148.5,111,25.25,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,3,0,35,18,0.4039712427250941,0.0,0.0,0.0,0.0,1.0,0.0
476,0,0,0,258.1,106,43.88,161.4,106,13.72,225.1,110,10.13,11.7,5,3.16,1,0,34,33,0.499534595097735,0.0,0.0,0.0,0.0,0.0,1.0
477,0,1,23,149.7,112,25.45,162.5,118,13.81,220.3,115,9.91,7.6,2,2.05,3,0,33,34,0.647887323943662,0.0,0.0,0.0,0.0,1.0,0.0
478,0,0,0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1,0,35,28,0.5846608638528493,0.0,0.0,0.0,0.0,0.0,1.0
479,0,0,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,0,31,36,0.4854838709677419,0.0,0.0,0.0,1.0,0.0,0.0
480,0,0,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,0,37,21,0.46757990867579907,0.0,1.0,0.0,0.0,0.0,0.0
481,0,0,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,0,29,32,0.5388112476847955,0.0,0.0,0.0,0.0,0.0,1.0
482,0,0,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0,0,35,23,0.47034764826175873,0.0,0.0,1.0,0.0,0.0,0.0
483,0,0,0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,0,31,37,0.4800387910134152,0.0,0.0,0.0,0.0,1.0,0.0
484,0,0,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11.0,2,2.97,3,0,24,33,0.45474678871991736,0.0,0.0,0.0,0.0,1.0,0.0
485,0,1,16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,0,28,36,0.7513892244503503,0.0,0.0,0.0,0.0,0.0,1.0
486,1,0,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,0,31,39,0.5645027394985888,0.0,0.0,1.0,0.0,0.0,0.0
487,0,0,0,204.2,100,34.71,292.6,139,24.87,244.3,105,10.99,10.5,2,2.84,0,0,31,40,0.464174875185535,1.0,0.0,0.0,0.0,0.0,0.0
488,0,0,0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0.0,0,0.0,1,0,40,21,0.4654235795037439,0.0,0.0,1.0,0.0,0.0,0.0
489,0,0,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,0,26,34,0.5183356840620592,1.0,0.0,0.0,0.0,0.0,0.0
490,0,0,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,0,32,36,0.5003371544167229,1.0,0.0,0.0,0.0,0.0,0.0
491,1,0,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,1,33,36,0.4634034064753721,0.0,0.0,0.0,0.0,1.0,0.0
492,1,0,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,1,29,37,0.5239968528717546,0.0,0.0,1.0,0.0,0.0,0.0
493,0,1,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,0,48,24,0.5546320084630498,0.0,0.0,1.0,0.0,0.0,0.0
494,0,0,0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1,0,36,35,0.5150281778334377,0.0,0.0,1.0,0.0,0.0,0.0
495,1,0,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2,0,39,22,0.5658914728682171,0.0,0.0,0.0,0.0,1.0,0.0
496,0,1,36,178.7,134,30.38,178.6,102,15.18,126.8,82,5.71,8.0,4,2.16,2,0,26,32,0.6568890725056807,0.0,0.0,0.0,0.0,0.0,1.0
497,0,0,0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,0,41,26,0.44313603966532383,0.0,0.0,0.0,0.0,1.0,0.0
498,1,0,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,1,26,49,0.4931006493506494,0.0,0.0,1.0,0.0,0.0,0.0
499,0,0,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,0,32,37,0.5954784012918853,0.0,0.0,1.0,0.0,0.0,0.0
500,0,1,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,0,35,33,0.5798165137614679,1.0,0.0,0.0,0.0,0.0,0.0
501,0,1,28,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1,0,39,28,0.43108182317408017,0.0,0.0,0.0,0.0,1.0,0.0
502,1,0,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,1,38,41,0.4504643962848297,1.0,0.0,0.0,0.0,0.0,0.0
503,1,1,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,0,23,34,0.5051290021759404,1.0,0.0,0.0,0.0,0.0,0.0
504,0,0,0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,0,30,35,0.44334186939820736,0.0,0.0,0.0,0.0,0.0,1.0
505,0,0,0,159.3,66,27.08,125.9,75,10.7,261.9,76,11.79,11.1,5,3.0,1,0,35,35,0.39663681228294645,0.0,1.0,0.0,0.0,0.0,0.0
506,0,1,31,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,0,44,24,0.44938271604938274,1.0,0.0,0.0,0.0,0.0,0.0
507,0,0,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,2,1.51,3,1,36,27,0.42368489245918634,1.0,0.0,0.0,0.0,0.0,0.0
508,0,1,24,186.6,69,31.72,222.0,116,18.87,234.9,138,10.57,11.6,5,3.13,1,0,43,36,0.5019425019425019,1.0,0.0,0.0,0.0,0.0,0.0
509,0,1,26,170.8,114,29.04,199.5,125,16.96,169.7,98,7.64,9.6,5,2.59,5,1,29,37,0.6240740740740741,0.0,0.0,0.0,0.0,1.0,0.0
510,0,1,17,124.0,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,0,41,26,0.5864661654135338,0.0,0.0,1.0,0.0,0.0,0.0
511,0,0,0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4.0,3,0,31,36,0.4520679705033665,1.0,0.0,0.0,0.0,0.0,0.0
512,0,0,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,0,31,34,0.4657179818887451,0.0,0.0,0.0,0.0,1.0,0.0
513,0,1,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0,0,39,33,0.4009720534629404,0.0,0.0,1.0,0.0,0.0,0.0
514,1,1,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14.0,12,3.78,0,1,28,33,0.4899966090200068,0.0,0.0,0.0,0.0,1.0,0.0
515,0,1,14,93.6,137,15.91,193.8,72,16.47,144.9,84,6.52,17.5,5,4.73,1,0,29,25,0.6777700670830442,0.0,0.0,0.0,1.0,0.0,0.0
516,0,0,0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2,0,39,29,0.5238986222146623,0.0,0.0,0.0,0.0,1.0,0.0
517,0,0,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,0,36,43,0.6442520636198914,0.0,0.0,0.0,0.0,1.0,0.0
518,0,0,0,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,0,34,34,0.517425320056899,0.0,0.0,0.0,0.0,0.0,1.0
519,0,0,0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9.0,3,2.43,3,0,31,35,0.6231390897490429,1.0,0.0,0.0,0.0,0.0,0.0
520,0,0,0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,11.6,2,3.13,1,0,30,34,0.548646671543526,0.0,0.0,1.0,0.0,0.0,0.0
521,0,0,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,1,31,34,0.5144423360742146,0.0,0.0,0.0,0.0,1.0,0.0
522,0,1,27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,0,39,34,0.46926046926046927,0.0,0.0,0.0,0.0,1.0,0.0
523,0,0,0,45.0,108,7.65,151.3,74,12.86,152.9,94,6.88,9.8,6,2.65,2,0,34,27,0.7903780068728521,1.0,0.0,0.0,0.0,0.0,0.0
524,0,0,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13.0,6,3.51,1,0,39,31,0.7414489058848523,1.0,0.0,0.0,0.0,0.0,0.0
525,0,0,0,47.4,125,8.06,167.8,90,14.26,163.1,107,7.34,10.5,8,2.84,2,0,33,28,0.8511763150938408,0.0,0.0,0.0,0.0,1.0,0.0
526,0,0,0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,0,42,31,0.5352393617021277,1.0,0.0,0.0,0.0,0.0,0.0
527,0,1,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,0,30,29,0.7001140250855188,0.0,0.0,1.0,0.0,0.0,0.0
528,0,0,0,124.8,133,21.22,157.3,143,13.37,199.3,72,8.97,8.6,4,2.32,2,0,21,41,0.7228915662650602,0.0,0.0,0.0,1.0,0.0,0.0
529,1,0,0,68.5,110,11.65,337.1,115,28.65,205.2,99,9.23,12.1,9,3.27,0,0,31,35,0.5304518664047152,0.0,0.0,1.0,0.0,0.0,0.0
530,0,1,37,163.5,77,27.8,203.1,102,17.26,232.0,87,10.44,7.8,4,2.11,2,0,33,38,0.4443701971266288,0.0,0.0,1.0,0.0,0.0,0.0
531,0,0,0,163.0,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,0,25,33,0.4337936636880585,0.0,0.0,0.0,0.0,1.0,0.0
532,0,1,38,213.7,61,36.33,253.0,104,21.51,207.7,73,9.35,10.7,5,2.89,2,0,31,44,0.35290628706998817,0.0,0.0,0.0,1.0,0.0,0.0
533,0,1,36,201.3,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,3,1.46,1,0,35,26,0.8098591549295775,0.0,0.0,0.0,0.0,1.0,0.0
534,0,0,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,0,31,39,0.5117099775425088,0.0,0.0,0.0,0.0,1.0,0.0
535,0,0,0,48.4,101,8.23,281.1,138,23.89,218.5,87,9.83,18.2,1,4.91,1,0,27,42,0.5948905109489051,1.0,0.0,0.0,0.0,0.0,0.0
536,0,1,40,171.2,88,29.1,145.7,109,12.38,196.8,93,8.86,14.0,6,3.78,1,0,32,38,0.5645318279151255,0.0,0.0,0.0,0.0,1.0,0.0
537,0,1,22,166.5,93,28.31,183.0,92,15.56,121.0,102,5.44,8.5,3,2.3,0,0,36,32,0.6099893730074389,0.0,0.0,0.0,0.0,0.0,1.0
538,0,0,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,0,35,29,0.5584559405157412,0.0,0.0,0.0,1.0,0.0,0.0
539,0,0,0,107.8,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,3,2.67,2,0,28,38,0.6089684443624285,0.0,0.0,1.0,0.0,0.0,0.0
540,0,1,28,141.3,94,24.02,168.0,108,14.28,113.5,84,5.11,7.8,2,2.11,1,0,29,38,0.6764427625354777,0.0,0.0,0.0,0.0,1.0,0.0
541,0,1,29,209.9,77,35.68,158.0,52,13.43,141.9,113,6.39,6.6,1,1.78,0,0,47,21,0.4746959591996862,0.0,0.0,1.0,0.0,0.0,0.0
542,1,1,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,1,27,32,0.38883745536304726,1.0,0.0,0.0,0.0,0.0,0.0
543,0,0,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,0,28,39,0.516651104886399,0.0,0.0,0.0,0.0,1.0,0.0
544,0,1,31,103.1,90,17.53,243.0,135,20.66,76.4,92,3.44,12.2,8,3.29,3,0,29,43,0.7502958579881657,0.0,0.0,1.0,0.0,0.0,0.0
545,0,1,27,129.5,106,22.02,248.9,90,21.16,268.0,115,12.06,11.9,3,3.21,1,0,37,29,0.4811262376237624,0.0,0.0,1.0,0.0,0.0,0.0
546,1,0,0,279.8,90,47.57,248.7,91,21.14,171.0,118,7.69,8.4,10,2.27,2,1,39,30,0.4274481772694782,1.0,0.0,0.0,0.0,0.0,0.0
547,1,1,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,1,31,28,0.46467218332272436,0.0,0.0,1.0,0.0,0.0,0.0
548,0,1,31,100.1,54,17.02,246.3,97,20.94,255.0,131,11.48,5.9,3,1.59,0,0,46,34,0.4689058862653808,0.0,0.0,1.0,0.0,0.0,0.0
549,0,1,31,237.1,63,40.31,205.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,0,32,44,0.4144510478573663,0.0,0.0,0.0,0.0,1.0,0.0
550,0,0,0,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,1,39,40,0.5245774237419856,0.0,1.0,0.0,0.0,0.0,0.0
551,0,0,0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,0,36,30,0.6053894425987449,0.0,0.0,1.0,0.0,0.0,0.0
552,0,0,0,288.1,112,48.98,258.0,92,21.93,192.4,90,8.66,10.2,4,2.75,3,1,31,31,0.3981042654028436,0.0,0.0,0.0,0.0,1.0,0.0
553,1,0,0,78.2,103,13.29,195.9,149,16.65,108.0,100,4.86,10.1,6,2.73,2,0,28,42,0.9212248102590944,0.0,0.0,0.0,0.0,0.0,1.0
554,0,0,0,148.7,80,25.28,259.0,94,22.02,149.5,107,6.73,12.7,6,3.43,2,0,38,33,0.5043072505384063,0.0,0.0,0.0,0.0,0.0,1.0
555,0,1,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,0,29,39,0.5346938775510204,1.0,0.0,0.0,0.0,0.0,0.0
556,0,0,0,159.5,77,27.12,303.8,92,25.82,226.9,120,10.21,12.0,4,3.24,0,0,42,32,0.4187192118226601,0.0,0.0,1.0,0.0,0.0,0.0
557,0,1,20,194.5,110,33.07,213.7,89,18.16,236.6,92,10.65,9.5,2,2.57,1,0,32,31,0.451302729528536,0.0,0.0,0.0,0.0,1.0,0.0
558,0,0,0,174.1,96,29.6,251.1,94,21.34,257.6,123,11.59,8.3,5,2.24,2,1,39,30,0.45840656121851203,0.0,0.0,0.0,1.0,0.0,0.0
559,0,0,0,131.8,97,22.41,136.7,100,11.62,308.2,119,13.87,7.7,6,2.08,2,0,38,32,0.547945205479452,0.0,0.0,0.0,0.0,0.0,1.0
560,0,0,0,160.6,103,27.3,237.0,109,20.15,245.1,88,11.03,10.7,1,2.89,1,0,29,36,0.4667807686323323,0.0,0.0,1.0,0.0,0.0,0.0
561,0,1,18,146.8,107,24.96,310.0,84,26.35,178.7,130,8.04,7.2,7,1.94,0,0,40,26,0.5051140833988985,0.0,0.0,1.0,0.0,0.0,0.0
562,0,1,28,200.7,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1,0,33,38,0.4799247176913426,0.0,0.0,0.0,1.0,0.0,0.0
563,0,0,0,145.6,106,24.75,98.3,106,8.36,230.8,83,10.39,10.9,5,2.94,1,0,28,36,0.6214451232357279,0.0,0.0,0.0,1.0,0.0,0.0
564,0,1,29,229.4,104,39.0,257.4,84,21.88,231.5,119,10.42,8.0,1,2.16,2,0,39,27,0.42739802311012115,0.0,0.0,1.0,0.0,0.0,0.0
565,0,0,0,211.0,76,35.87,189.0,100,16.07,123.0,102,5.54,4.7,4,1.27,3,0,37,36,0.5315487571701721,0.0,0.0,1.0,0.0,0.0,0.0
566,0,1,37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,0,32,36,0.4738154613466335,0.0,0.0,0.0,0.0,0.0,1.0
567,1,0,0,216.0,73,36.72,188.2,117,16.0,147.1,98,6.62,3.6,7,0.97,2,0,34,41,0.5224015962270996,0.0,0.0,1.0,0.0,0.0,0.0
568,0,0,0,293.0,88,49.81,160.6,101,13.65,143.9,87,6.48,10.0,6,2.7,2,0,32,37,0.4619246861924686,1.0,0.0,0.0,0.0,0.0,0.0
569,1,1,32,221.1,137,37.59,264.9,99,22.52,168.9,108,7.6,15.4,4,4.16,2,1,31,29,0.52527103374561,0.0,0.0,0.0,0.0,1.0,0.0
570,0,0,0,181.5,108,30.86,196.9,87,16.74,187.2,119,8.42,10.3,2,2.78,1,0,38,28,0.5551626591230553,0.0,0.0,1.0,0.0,0.0,0.0
571,0,1,26,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,0,29,37,0.5712721299507209,1.0,0.0,0.0,0.0,0.0,0.0
572,1,0,0,62.3,92,10.59,275.0,82,23.38,138.7,108,6.24,10.8,3,2.92,1,0,38,29,0.592436974789916,1.0,0.0,0.0,0.0,0.0,0.0
573,0,1,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9.0,1,2.43,3,0,39,34,0.498292455759081,0.0,0.0,0.0,0.0,1.0,0.0
574,0,0,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,1,28,29,0.35313615502294743,0.0,0.0,1.0,0.0,0.0,0.0
575,0,1,36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1,0,37,31,0.40939887559463745,1.0,0.0,0.0,0.0,0.0,0.0
576,0,0,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,0,29,44,0.4224698235840297,0.0,0.0,0.0,0.0,1.0,0.0
577,0,0,0,149.8,112,25.47,180.0,93,15.3,140.0,119,6.3,11.7,4,3.16,2,0,37,29,0.689655172413793,0.0,0.0,0.0,1.0,0.0,0.0
578,0,1,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,0,42,32,0.5290530846484935,0.0,0.0,0.0,0.0,0.0,1.0
579,0,1,21,186.7,108,31.74,335.0,86,28.48,187.2,119,8.42,16.5,4,4.46,1,0,38,27,0.44152912963746643,0.0,0.0,1.0,0.0,0.0,0.0
580,0,0,0,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,2,2.0,1,1,31,30,0.47340226734770147,1.0,0.0,0.0,0.0,0.0,0.0
581,0,1,25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,10.2,3,2.75,3,0,32,41,0.5114860014357502,0.0,0.0,1.0,0.0,0.0,0.0
582,0,0,0,164.2,109,27.91,155.4,90,13.21,168.9,117,7.6,10.7,8,2.89,1,0,37,28,0.646878198567042,0.0,0.0,0.0,0.0,0.0,1.0
583,0,0,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,0,36,36,0.3983516483516483,0.0,0.0,1.0,0.0,0.0,0.0
584,0,0,0,234.2,128,39.81,293.1,92,24.91,183.9,79,8.28,9.8,6,2.65,0,1,26,31,0.42041619797525315,1.0,0.0,0.0,0.0,0.0,0.0
585,0,0,0,55.3,102,9.4,164.7,124,14.0,200.7,108,9.03,10.2,5,2.75,1,0,32,37,0.7939149037318755,0.0,0.0,0.0,0.0,1.0,0.0
586,1,0,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,0,40,35,0.6002494543186778,0.0,0.0,0.0,0.0,1.0,0.0
587,0,0,0,169.6,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,8,2.0,1,0,42,29,0.7233938205002451,0.0,0.0,1.0,0.0,0.0,0.0
588,0,0,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,1,32,27,0.5577995768417003,0.0,0.0,0.0,0.0,1.0,0.0
589,0,1,14,80.2,81,13.63,219.0,103,18.62,122.6,102,5.52,8.6,2,2.32,1,0,36,36,0.6780464675201519,1.0,0.0,0.0,0.0,0.0,0.0
590,0,0,0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,0,36,29,0.44582226158842636,0.0,0.0,0.0,0.0,1.0,0.0
591,0,0,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,0,31,41,0.6506584043377227,0.0,0.0,1.0,0.0,0.0,0.0
592,0,0,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2,0,34,39,0.6647095827217445,0.0,0.0,0.0,0.0,1.0,0.0
593,0,1,29,207.2,111,35.22,254.1,137,21.6,169.3,92,7.62,9.5,5,2.57,2,0,27,40,0.5391690453536315,0.0,0.0,1.0,0.0,0.0,0.0
594,0,0,0,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,0,32,26,0.5099639102463518,0.0,0.0,1.0,0.0,0.0,0.0
595,0,1,28,151.4,95,25.74,152.4,97,12.95,250.1,109,11.25,0.0,0,0.0,1,0,36,32,0.543419389781549,0.0,1.0,0.0,0.0,0.0,0.0
596,0,0,0,157.5,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3,0,40,32,0.5128737541528239,1.0,0.0,0.0,0.0,0.0,0.0
597,0,0,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,0,38,37,0.5558900260887015,0.0,0.0,1.0,0.0,0.0,0.0
598,0,0,0,159.0,80,27.03,167.9,128,14.27,167.6,101,7.54,12.3,5,3.32,1,0,33,41,0.6248736097067745,0.0,0.0,0.0,0.0,0.0,1.0
599,0,1,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,0,42,37,0.4517981263221517,1.0,0.0,0.0,0.0,0.0,0.0
600,0,0,0,102.6,89,17.44,246.0,77,20.91,170.5,140,7.67,9.1,4,2.46,2,0,46,25,0.5894817954151416,1.0,0.0,0.0,0.0,0.0,0.0
601,1,0,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,1,39,28,0.5576441102756893,0.0,0.0,1.0,0.0,0.0,0.0
602,0,0,0,202.8,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,4,1.24,1,0,25,37,0.5541463414634147,0.0,0.0,1.0,0.0,0.0,0.0
603,0,0,0,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,11.6,6,3.13,3,0,36,37,0.6240084611316764,1.0,0.0,0.0,0.0,0.0,0.0
604,0,0,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1,0,26,33,0.6285410764872522,0.0,0.0,0.0,0.0,0.0,1.0
605,0,0,0,335.5,77,57.04,212.5,109,18.06,265.0,132,11.93,12.7,8,3.43,2,1,42,34,0.39114391143911437,1.0,0.0,0.0,0.0,0.0,0.0
606,0,0,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0,0,30,33,0.5750627015406664,0.0,0.0,1.0,0.0,0.0,0.0
607,0,1,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,0,36,22,0.5068848533226901,0.0,0.0,0.0,0.0,1.0,0.0
608,0,0,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,0,41,28,0.4711717296962182,0.0,0.0,0.0,1.0,0.0,0.0
609,0,0,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,0,46,33,0.44491154317743914,0.0,0.0,0.0,1.0,0.0,0.0
610,0,0,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,0,36,30,0.5448127685696748,0.0,0.0,1.0,0.0,0.0,0.0
611,0,0,0,193.7,83,32.93,154.2,79,13.11,299.0,60,13.46,12.7,3,3.43,1,0,27,36,0.3431751429896429,0.0,0.0,0.0,0.0,1.0,0.0
612,0,0,0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,0,38,32,0.6268146883005978,0.0,0.0,0.0,1.0,0.0,0.0
613,1,1,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,1,34,38,0.46430275083479094,0.0,0.0,0.0,0.0,0.0,1.0
614,0,1,37,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,0,31,35,0.4993853718500307,0.0,0.0,1.0,0.0,0.0,0.0
615,0,1,43,172.0,111,29.24,200.2,64,17.02,233.1,96,10.49,8.0,5,2.16,1,0,35,24,0.44771187840740134,0.0,0.0,0.0,0.0,0.0,1.0
616,1,1,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,0,34,30,0.5430444697833524,0.0,0.0,0.0,1.0,0.0,0.0
617,0,0,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3,0,37,32,0.6169832765059263,0.0,0.0,0.0,0.0,1.0,0.0
618,0,0,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,0,32,32,0.6087662337662337,0.0,0.0,0.0,0.0,1.0,0.0
619,1,0,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,1,35,35,0.34726859890476824,1.0,0.0,0.0,0.0,0.0,0.0
620,0,0,0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,0,41,29,0.45440636474908197,1.0,0.0,0.0,0.0,0.0,0.0
621,0,0,0,122.4,88,20.81,143.8,111,12.22,157.0,106,7.07,11.5,3,3.11,1,0,35,36,0.7206994328922495,0.0,0.0,1.0,0.0,0.0,0.0
622,0,1,33,209.6,68,35.63,146.9,140,12.49,121.0,131,5.44,10.6,3,2.86,2,0,39,41,0.7099476439790576,0.0,0.0,1.0,0.0,0.0,0.0
623,0,0,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,0,27,27,0.4899457389083945,0.0,0.0,0.0,0.0,1.0,0.0
624,0,0,0,161.4,110,27.44,220.6,125,18.75,249.2,78,11.21,5.1,2,1.38,0,0,25,40,0.49588086185044356,0.0,0.0,1.0,0.0,0.0,0.0
625,0,0,0,144.2,91,24.51,226.7,137,19.27,144.6,72,6.51,13.8,4,3.73,3,0,24,46,0.5819592628516004,0.0,0.0,0.0,0.0,1.0,0.0
626,1,1,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,1,28,34,0.4749426793318048,0.0,0.0,1.0,0.0,0.0,0.0
627,0,0,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2.0,4,0,28,36,0.43073690529791386,0.0,0.0,1.0,0.0,0.0,0.0
